brand,title,scent_type,price,priceWithCurrency,available,availableText,sold,lastUpdated,itemLocation
Carolina Herrera,Good Girl by Carolina Herrera 2.7 oz Eau De Parfum Spray Women's New & Sealed,"Jasmine, Saffron, Oakmoss, Blackcurrant, Musk",43.99,US $43.99/ea,2,2 available / 393 sold,393,"May 23, 2024 10:43:50 PDT","Thomasville, Alabama, United States"
As Shown,Parfums de Marly Delina La Rosee Eau de Parfum 2.5 Fl Oz/75ml Spray for Women,"Oud, Grapefruit, Apple, Rose",79.99,US $79.99,5,5 available / 40 sold,40,"May 24, 2024 00:15:48 PDT","New Jersey, Hong Kong"
PRADA,PRADA Paradoxe by Prada EDP 3.0oz/90ml Spray Perfume for Women New In Box,"Cinnamon, Lavender",59.99,US $59.99,10,More than 10 available / 35 sold,35,"May 14, 2024 20:54:25 PDT","Orange, New Jersey, United States"
As Show,J'adore Parfum D'eau by Christian 3.4 oz EDP Fragrance for Women New In Box,"Saffron, Cinnamon, Peach, Orange Blossom, Vetiver",59.99,US $59.99/ea,10,More than 10 available / 9 sold,9,"May 23, 2024 01:23:05 PDT","USA, New Jersey, Hong Kong"
Khadlaj,"Shiyaaka for Men EDP Spray 100ML (3.4 FL.OZ) By Khadlaj (Woody, Aromatic, Earth)","Vanilla, Cedarwood",29.99,US $29.99/ea,10,More than 10 available,,,"Little Ferry, New Jersey, United States"
Viktor & Rolf,Flowerbomb by Viktor & Rolf 3.4 oz 100ML Eau De Parfum Brand New Sealed In Box,"Lily of the Valley, Sandalwood, Jasmine",51.99,US $51.99/ea,8,8 available / 184 sold,184,"May 23, 2024 10:44:09 PDT","Warren, Michigan, United States"
AS SHOW,PRADA Paradoxe by Prada EDP 3.0oz/90ml Spray Perfume for Women New In Box US,"Coconut, Peach, Orange Blossom, Leather, Jasmine",58.99,US $58.99,,Out of Stock / 18 sold,18,"May 24, 2024 00:15:13 PDT","Astoria, New York, United States"
Versace,Versace Bright Crystal Women EDT 6.7 oz 200 ml New Sealed in Box,"Leather, Musk, Sandalwood, Coconut",52.79,US $52.79/ea,6,6 available / 258 sold,258,"May 21, 2024 06:41:13 PDT","Dexter, Michigan, United States"
Versace,Versace Bright Crystal by Versace for Women EDT Spray 3.0 oz / 90 ml New In Box,"Vetiver, Leather, Pepper",29.99,US $29.99,,Last One / 251 sold,251,"May 23, 2024 22:39:02 PDT","Jamaica, New York, United States"
Lattafa,Fakhar by Lattafa Eau de Parfum 3.4 oz / 100 ml Spray for Men,"Coffee, Patchouli, Sandalwood, Amber, Violet",22.75,US $22.75/ea,10,More than 10 available / 174 sold,174,"May 24, 2024 00:25:04 PDT","New York, New York, United States"
Yves Saint Laurent,Yves Saint Laurent Black Opium 3oz Eau de Parfum Women's New Sealed,"Violet, Ginger, Orange Blossom, Citrus",39.99,US $39.99/ea,10,More than 10 available / 77 sold,77,"May 24, 2024 11:01:13 PDT","Ecorse, Michigan, United States"
Gucci,Gucci Bloom 3.3oz / 3.4oz Eau de Parfum Women's Fragrance New Sealed,"Pepper, Oud",64.99,US $64.99/ea,10,More than 10 available / 35 sold,35,"May 24, 2024 11:01:04 PDT","Ecorse, Michigan, United States"
Carolina Herrera,Very Good Girl GLAM by Carolina Herrera 2.7 oz Eau de parfum Spray New & Sealed,"Pear, Blackcurrant, Apple",60.99,US $60.99/ea,2,2 available / 51 sold,51,"May 23, 2024 16:56:32 PDT","Quinlan, Texas, United States"
Carolina Herrera,Good Girl by Carolina Herrera 2.7 fl oz Spray Eau De Parfum New & Sealed,"Clove, Chocolate",43.49,US $43.49/ea,2,2 available / 20 sold,20,"May 22, 2024 10:25:36 PDT","Cincinnati, Ohio, United States"
Coach,Coach Floral 3.0 oz EDP eau de parfum spray womens perfume 90ml Tester,"Vetiver, Cypress, Cardamom",29.2,US $29.20/ea,10,More than 10 available / 505 sold,505,"May 08, 2024 09:46:06 PDT","Edison, New Jersey, United States"
Guerlain,Guerlain NEROLI OUTRENOIR Eau de Parfum 2ml /.06oz Sample Spray NIB,"Lily of the Valley, Lily, Clove",13,US $13.00,10,More than 10 available / 94 sold,94,"May 24, 2024 09:43:51 PDT","New York, New York, United States"
Philosophy,"Amazing Grace by Philosophy, 4 oz EDP Intense Spray for Women","Oud, Cedarwood",39.69,US $39.69/ea,10,More than 10 available / 234 sold,234,"May 24, 2024 10:21:14 PDT","Edison, New Jersey, United States"
Marc Jacobs,Marc Jacobs Decadence For Women by Marc Jacobs 3.4 oz 100ml EDP Spray New,"Leather, Vanilla, Pepper, Lily of the Valley",59.99,US $59.99,6,6 available / 34 sold,34,"May 22, 2024 18:32:01 PDT","New York,USA, Hong Kong"
AS SHOWN,PRADA Paradoxe By Prada EDP 3.0oz/90ml Spray Perfume For Women New In Box USA,"Rose, Pepper, Musk",59.99,US $59.99,,Last One / 43 sold,43,"May 23, 2024 01:10:19 PDT","New York, New York, United States"
Dolce & Gabbana,D&G DOLCE & GABBANA LIGHT BLUE EAU INTENSE WOMEN 1.5ml .05oz x 5 PERFUME SAMPLES,"Coffee, Cinnamon",11,US $11.00,10,"More than 10 available / 1,613 sold",1613,"Apr 05, 2024 00:52:19 PDT","Albany, New York, United States"
QRC,Oxytocin-N 15iu Per Spray 1oz (30ml),"Patchouli, Cypress, Amber, Peach, Chili",27,US $27.00/ea,10,More than 10 available / 218 sold,218,"Mar 20, 2024 12:14:58 PDT","Oklahoma City, Oklahoma, United States"
~ CREPE ERASE ~,CREPE ERASE-BODY FIRM ADVANCED BODY REPAIR TREATMENT ULTR- 3.3 OZ  Sealed W/OBox,"Orange Blossom, Citrus",29.99,US $29.99,10,More than 10 available / 1 sold,1,,"Melrose Park, Illinois, United States"
Unbranded,Lattafa YARA by Lattafa 3.4 Oz (100 ml) EDP Eau De Parfum Spray for Women.,"Sandalwood, Oakmoss, Orange Blossom, Oud, Leather",16.27,US $16.27/ea,300,300 available / 38 sold,38,"May 24, 2024 08:20:15 PDT","shanghai, China"
YSL,Libre by Yves Saint Laurent YSL 3 oz EDP Perfume for Women New in Box,"Apple, Grapefruit",54.95,US $54.95,,Last One / 25 sold,25,"May 24, 2024 00:08:02 PDT","Stuyvesant Falls, New York, United States"
Carolina Herrera,Carolina Herrera Good Girl 2.7 oz EDP Feminine & Empowering New,"Amber, Jasmine, Lily of the Valley",49.99,US $49.99/ea,6,6 available / 183 sold,183,"May 23, 2024 09:40:39 PDT","Macomb, Michigan, United States"
Parfums de Marly,Parfums de Marly Delina 2.5 oz/75 ml EDP Spray for Women New With Sealed Box,"Saffron, Cypress",84.99,US $84.99,4,4 available / 71 sold,71,"May 22, 2024 01:30:45 PDT","California or Hong Kong, Hong Kong"
Yves Saint Laurent,Mon Paris 3 oz Perfume by Yves Saint Laurent 90 ml Womens Spray EDP New & Sealed,"Cardamom, Chocolate, Oakmoss, Chili, Violet",39.99,US $39.99/ea,8,8 available / 126 sold,126,"May 24, 2024 05:51:11 PDT","Farmington, Michigan, United States"
Dolce&Gabbana,Dolce & Gabbana Light Blue 6.7 oz Spray Eau De Toilette Women's New & Sealed,"Ginger, Patchouli, Chili, Vanilla, Musk",53.99,US $53.99,,Out of Stock / 54 sold,54,"May 24, 2024 03:14:29 PDT","Ecorse, Michigan, United States"
EX NIHILO,Blue Taliman by Ex Nihilo Eau De Parfum 3.3oz/100ml Unisex Spray New With Box,"Pepper, Oakmoss",99.99,US $99.99,4,4 available / 29 sold,29,"May 23, 2024 03:50:04 PDT","California or Hong Kong, Hong Kong"
Juliette has a gun,Not a Perfume by Juliette has a gun 3.3 oz EDP Perfume for Women Tester,"Jasmine, Chocolate, Saffron, Lavender, Orange Blossom",40.92,US $40.92/ea,,"Limited quantity available / 1,571 sold",1571,"May 24, 2024 07:32:36 PDT","Hackensack, New Jersey, United States"
Davidoff,Davidoff Cool Water Sea Rose Eau De Toilette Spray For Her 100 Ml NEW IN BOX,"Cypress, Lily, Amber",22.9,US $22.90/ea,10,More than 10 available / 291 sold,291,"May 08, 2024 17:11:47 PDT","Princeton Junction, New Jersey, United States"
Viktor & Rolf,Viktor Rolf Flowerbomb 3.4 oz L'Eau De Parfum Spray New Factory Sealed in Box,"Lily of the Valley, Jasmine, Cinnamon",42,US $42.00/ea,4,4 available / 406 sold,406,"May 23, 2024 22:57:33 PDT","Portland, Oregon, United States"
Giorgi^o Armani,Sì Passione by Giorgio Armani For Women 3.4 Oz Eau De Parfum Spray New in Box,"Chocolate, Coffee, Peach, Patchouli, Oakmoss",44.88,US $44.88/ea,7,7 available / 147 sold,147,"May 20, 2024 00:21:18 PDT","South El Monte, California, United States"
PRADA,Prada Les infusions De Milano Iris Cedre for Women 3.4oz/100ml EDP Spray In Box,"Saffron, Vetiver, Lily of the Valley",66.99,US $66.99,10,More than 10 available / 3 sold,3,"May 23, 2024 18:00:47 PDT","Perth Amboy, New Jersey, United States"
